["port 2","RIGHT"]
["port 1","LEFT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(100, 3)
1.9360374000000000e+14 6.2484306942724019e-03 3.1109926208000907e+01
1.9373011319843341e+14 6.4213051446473362e-03 3.1749921061477224e+01
1.9385665148269106e+14 6.6120784826691975e-03 3.2394262832123658e+01
1.9398335517647059e+14 6.8183190627103436e-03 3.3043055486601240e+01
1.9411022460431656e+14 7.0375866400352585e-03 3.3696318228685485e+01
1.9423726009162306e+14 7.2675120653766904e-03 3.4353999792017831e+01
1.9436446196463653e+14 7.5058396568144416e-03 3.5015992101547845e+01
1.9449183055045872e+14 7.7504306099557734e-03 3.5682143916783573e+01
1.9461936617704919e+14 7.9992410101524629e-03 3.6352275095229572e+01
1.9474706917322834e+14 8.2502941997483602e-03 3.7026191178060628e+01
1.9487493986868022e+14 8.5016669127705377e-03 3.7703696965801164e+01
1.9500297859395531e+14 8.7515004651142220e-03 3.8384607202959558e+01
1.9513118568047338e+14 8.9980353216450887e-03 3.9068752784148749e+01
1.9525956146052631e+14 9.2396549687077667e-03 3.9755981975777594e+01
1.9538810626728112e+14 9.4749187925759742e-03 4.0446157586857296e+01
1.9551682043478259e+14 9.7025667727215284e-03 4.1139152213756908e+01
1.9564570429795650e+14 9.9214903427100216e-03 4.1834844110586964e+01
1.9577475819261212e+14 1.0130678895305133e-02 4.2533115692020012e+01
1.9590398245544556e+14 1.0329163250238761e-02 4.3233855353803527e+01
1.9603337742404225e+14 1.0515980142962966e-02 4.3936961729080181e+01
1.9616294343688038e+14 1.0690173492373804e-02 4.4642348343061791e+01
1.9629268083333334e+14 1.0850832047307166e-02 4.5349946385901966e+01
1.9642258995367306e+14 1.0997146145991170e-02 4.6059704108574941e+01
1.9655267113907284e+14 1.1128456685200131e-02 4.6771582823549402e+01
1.9668292473161031e+14 1.1244271947000393e-02 4.7485551016235931e+01
1.9681335107427056e+14 1.1344242129013041e-02 4.8201578969033690e+01
1.9694395051094891e+14 1.1428101175771819e-02 4.8919636151598517e+01
1.9707472338645419e+14 1.1495601719530318e-02 4.9639692467880394e+01
1.9720567004651162e+14 1.1546473642234906e-02 5.0361722753817119e+01
1.9733679083776594e+14 1.1580427035830803e-02 5.1085712436475795e+01
1.9746808610778444e+14 1.1597200071666772e-02 5.1811661685497498e+01
1.9759955620505994e+14 1.1596630728441354e-02 5.2539586017848443e+01
1.9773120147901400e+14 1.1578718906290619e-02 5.3269512916921585e+01
1.9786302228000000e+14 1.1543648713117879e-02 5.4001475899050547e+01
1.9799501895930619e+14 1.1491758777130601e-02 5.4735508752784966e+01
